Leaf Number,Latitude Range,Longitude Range
198,"(39.60691452026367, 39.66097450256348)","(15.011570453643799, 24.693077087402344)"
199,"(39.66097450256348, 40.32520294189453)","(15.011570453643799, 23.139896392822266)"
200,"(39.66097450256348, 40.32520294189453)","(23.139896392822266, 24.693077087402344)"
201,"(40.32520294189453, 40.67035675048828)","(15.011570453643799, 23.013988494873047)"
202,"(40.32520294189453, 40.67035675048828)","(23.013988494873047, 24.693077087402344)"
203,"(40.67035675048828, 45.31870460510254)","(15.011570453643799, 24.693077087402344)"
204,"(45.31870460510254, 46.778310775756836)","(15.011570453643799, 24.693077087402344)"
205,"(46.778310775756836, 52.21586990356445)","(-26.457131385803223, -1.3443446159362793)"
206,"(46.778310775756836, 52.21586990356445)","(-1.3443446159362793, -1.3280909657478333)"
207,"(52.21586990356445, 56.594709396362305)","(-26.457131385803223, -1.3280909657478333)"
208,"(56.594709396362305, 90)","(-26.457131385803223, -1.3280909657478333)"
209,"(46.778310775756836, 51.011077880859375)","(-1.3280909657478333, 13.420084476470947)"
210,"(51.011077880859375, 54.39936065673828)","(-1.3280909657478333, 13.420084476470947)"
211,"(54.39936065673828, 59.828433990478516)","(-1.3280909657478333, 13.420084476470947)"
212,"(59.828433990478516, 90)","(-1.3280909657478333, 13.420084476470947)"
213,"(46.778310775756836, 48.33453178405762)","(13.420084476470947, 16.24789810180664)"
214,"(46.778310775756836, 48.33453178405762)","(16.24789810180664, 24.693077087402344)"
215,"(48.33453178405762, 48.961151123046875)","(13.420084476470947, 16.700758934020996)"
216,"(48.33453178405762, 48.961151123046875)","(16.700758934020996, 24.693077087402344)"
217,"(48.961151123046875, 60.1003475189209)","(13.420084476470947, 18.21684741973877)"
218,"(48.961151123046875, 60.1003475189209)","(18.21684741973877, 24.693077087402344)"
219,"(60.1003475189209, 63.957773208618164)","(13.420084476470947, 24.693077087402344)"
220,"(63.957773208618164, 90)","(13.420084476470947, 24.693077087402344)"
221,"(38.268184661865234, 46.73546600341797)","(24.693077087402344, 28.451899528503418)"
222,"(38.268184661865234, 46.73546600341797)","(28.451899528503418, 31.954071044921875)"
223,"(46.73546600341797, 50.0239315032959)","(24.693077087402344, 25.812984466552734)"
224,"(46.73546600341797, 50.0239315032959)","(25.812984466552734, 31.954071044921875)"
225,"(50.0239315032959, 50.38629150390625)","(24.693077087402344, 31.274078369140625)"
226,"(50.0239315032959, 50.38629150390625)","(31.274078369140625, 31.954071044921875)"
227,"(50.38629150390625, 50.533212661743164)","(24.693077087402344, 31.954071044921875)"
228,"(50.533212661743164, 50.99823188781738)","(24.693077087402344, 31.954071044921875)"
229,"(38.268184661865234, 43.21310234069824)","(31.954071044921875, 87.99558639526367)"
230,"(43.21310234069824, 45.120513916015625)","(31.954071044921875, 87.99558639526367)"
231,"(45.120513916015625, 48.34120559692383)","(31.954071044921875, 87.99558639526367)"
232,"(48.34120559692383, 50.99823188781738)","(31.954071044921875, 87.99558639526367)"
233,"(38.268184661865234, 50.99823188781738)","(87.99558639526367, 88.3875503540039)"
234,"(38.268184661865234, 50.99823188781738)","(88.3875503540039, 105.87921905517578)"
235,"(38.268184661865234, 50.99823188781738)","(105.87921905517578, 138.28964233398438)"
236,"(38.268184661865234, 50.99823188781738)","(138.28964233398438, 180)"
237,"(50.99823188781738, 52.06986427307129)","(24.693077087402344, 48.653106689453125)"
238,"(52.06986427307129, 61.79668045043945)","(24.693077087402344, 48.653106689453125)"
239,"(50.99823188781738, 57.44487380981445)","(48.653106689453125, 72.58443069458008)"
240,"(57.44487380981445, 61.79668045043945)","(48.653106689453125, 72.58443069458008)"
241,"(61.79668045043945, 66.50589752197266)","(24.693077087402344, 72.58443069458008)"
242,"(66.50589752197266, 70.2673110961914)","(24.693077087402344, 72.58443069458008)"
243,"(70.2673110961914, 70.33696365356445)","(24.693077087402344, 72.58443069458008)"
244,"(70.33696365356445, 90)","(24.693077087402344, 72.58443069458008)"
245,"(50.99823188781738, 54.96918869018555)","(72.58443069458008, 80.0838623046875)"
246,"(54.96918869018555, 90)","(72.58443069458008, 80.0838623046875)"
247,"(50.99823188781738, 90)","(80.0838623046875, 80.88368606567383)"
248,"(50.99823188781738, 90)","(80.88368606567383, 82.60935592651367)"
249,"(50.99823188781738, 90)","(82.60935592651367, 127.26225662231445)"
250,"(50.99823188781738, 90)","(127.26225662231445, 158.71897888183594)"
251,"(50.99823188781738, 90)","(158.71897888183594, 165.11385345458984)"
252,"(50.99823188781738, 90)","(165.11385345458984, 180)"
