id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
144531,Sternula superciliaris,Laridae,Animalia,Chordata,Sternula,Aves,Sternula,45510440,"[2, 0]",15.5,[8],"[286, 464, 257, 509, 208]","[177, 252, 15, 237, 225]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,3760.0,3524.0,24.0,Stable
144646,Ceyx azureus,Alcedinidae,Animalia,Chordata,Ceyx,Aves,Ceyx,1048482,"[2, 0]","[746.0, 742.0]",[8],"[507, 169, 356, 24, 412]","[266, 188, 152, 137, 223]","[82, 59, 40, 34, 26]","[5000.0, 1000.0]",20.0,"[11, 18, 12]",43682.0,2719.0,2617.0,,Increasing
144659,Coracias naevius,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias,919962,"[2, 0]",43.0,[8],"[551, 332, 80, 382, 28]","[33, 204, 47, 98, 204]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",186616.0,,,2.0,Stable
144743,Carterornis leucotis,Monarchidae,Animalia,Chordata,Carterornis,Aves,Carterornis,45512143,"[2, 0]",1492.0,[7],[],"[252, 158]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",61.0,328.0,309.0,,Decreasing
144761,Heteromyias cinereifrons,Petroicidae,Animalia,Chordata,Heteromyias,Aves,Heteromyias,45515741,"[2, 0]",,[8],[],"[113, 35, 235, 114, 64]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",28485.0,514.0,474.0,1.0,Stable
144764,Calendulauda sabota,Alaudidae,Animalia,Chordata,Calendulauda,Aves,Calendulauda,45511015,"[2, 0]","[17.5, 21.0, 22.0, 25.0]",[8],"[334, 73, 407, 360, 163]","[271, 88, 165, 164, 245]","[32, 32, 32, 32, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",3333118.0,73415.0,,47.0,Decreasing
144768,Calendulauda albescens,Alaudidae,Animalia,Chordata,Calendulauda,Aves,Calendulauda,45516856,"[2, 0]",59.0,[8],"[320, 455, 236, 450, 262]","[33, 185, 127, 239, 42]","[98, 42, 53, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",1218332.0,,,11.0,Unknown
144795,Cecropis abyssinica,Hirundinidae,Animalia,Chordata,Cecropis,Aves,Cecropis,45510745,"[2, 0]",,"[0, 8, 3]","[409, 278, 209, 220, 369]","[158, 177, 122, 220, 277]","[53, 22, 93, 58, 10]","[1000.0, 5000.0]",-15.0,"[11, 13, 4, 11, 12]",338722.0,25659.0,23185.0,132.0,Decreasing
144797,Cecropis senegalensis,Hirundinidae,Animalia,Chordata,Cecropis,Aves,Cecropis,1018898,"[2, 0]",,[8],"[268, 178, 458, 60, 394]","[188, 98, 50, 66, 72]","[32, 34]",,,[13],,2633.0,2470.0,,Stable
144815,Poecile atricapillus,Paridae,Animalia,Chordata,Poecile,Aves,Poecile,326578,"[2, 0]","[2675.0, 2675.0, 22.7, 2675.0, 2309.12]",[5],"[402, 349, 166, 13, 414]","[75, 126, 143, 122, 158]","[95, 10, 58, 89, 69]",,,"[16, 5, 8]",,9063.0,8166.0,27.0,nan
145031,Copsychus fulicatus,Muscicapidae,Animalia,Chordata,Saxicoloides,Aves,Saxicoloides,64703930,[],,[],[],[],[],,,[],,,,,nan
145085,Turdus simillimus,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,1038857,"[2, 1, 3]",,[8],"[16, 569, 470, 388, 277]","[222, 279, 188, 276, 125]","[78, 78, 98, 82, 33]","[300.0, 30.0, 80.0, 500.0]",80.0,"[7, 8]",,315.0,294.0,3.0,Stable
145187,Cinnyris talatala,Nectariniidae,Animalia,Chordata,Cinnyris,Aves,Cinnyris,1047919,"[2, 0]",606.0,"[0, 8]","[104, 357, 446, 222, 546]","[108, 113, 11, 226, 114]","[30, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",36188.0,526.0,499.0,1.0,Decreasing
145189,Cinnyris fuscus,Nectariniidae,Animalia,Chordata,Cinnyris,Aves,Cinnyris,1048204,"[2, 1]",,[8],"[145, 338, 275, 181, 179]","[273, 273, 273, 56, 98]","[55, 75, 87, 46, 98]",,,[13],,238.0,223.0,,Unknown
145300,Acanthis flammea,Fringillidae,Animalia,Chordata,Acanthis,Aves,Acanthis,328334,"[2, 0]","[62.5, 97500.0, 69063.79]",[8],"[104, 375, 32, 346, 245]","[48, 273, 56, 114, 108]","[98, 81, 54, 5, 95]",,,"[14, 8]",,657.0,232.0,10.0,Stable
145308,Spinus psaltria,Fringillidae,Animalia,Chordata,Spinus,Aves,Spinus,45517658,"[2, 0]","[22.0, 22.7]",[8],"[191, 88, 149, 329, 184]","[119, 159, 264, 33, 185]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",228008.0,3813.0,2954.0,2.0,Stable
145310,Spinus tristis,Fringillidae,Animalia,Chordata,Spinus,Aves,Spinus,45513980,"[2, 0]",280.0,[8],"[67, 426, 25, 363, 190]","[117, 108, 273, 56, 11]","[44, 3, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",21792.0,,,2.0,Decreasing
145338,Granatina granatina,Estrildidae,Animalia,Chordata,Uraeginthus,Aves,Uraeginthus,45514160,"[2, 0]",246.0,"[0, 8]","[25, 182, 560, 145, 181]","[11, 108, 64, 121, 117]","[32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",3841.0,147.0,143.0,,Stable
180001,Urocitellus parryii,Sciuridae,Animalia,Chordata,Urocitellus,Mammalia,Urocitellus,45515395,"[2, 0]",,[8],[],"[64, 114, 38, 12, 109]","[62, 54, 34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",148715.0,,,1.0,Increasing
180008,Otospermophilus variegatus,Sciuridae,Animalia,Chordata,Otospermophilus,Mammalia,Otospermophilus,45518135,"[2, 0]",,[8],"[568, 44, 368, 178, 524]","[34, 188, 66, 98]","[43, 74, 44, 5, 85]","[1000.0, 5000.0]",10.0,"[11, 12]",64492.0,443.0,430.0,,Decreasing
199841,Haemorhous purpureus,Fringillidae,Animalia,Chordata,Haemorhous,Aves,Haemorhous,45518421,"[2, 0]","[11.0, 11.8]",[8],"[326, 142, 40, 584, 154]","[188, 66, 98]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",16203.0,,,,Decreasing
201113,Lalage melanoptera,Campephagidae,Animalia,Chordata,Coracina,Aves,Coracina,1018728,"[1, 2]",,[8],"[179, 187, 462, 452, 357]","[1, 56, 22, 98, 114]","[34, 32]",,,[13],,543.0,528.0,,Unknown
201178,Iduna caligata,Acrocephalidae,Animalia,Chordata,Iduna,Aves,Iduna,914434,"[2, 0]","[1156.0, 1055.0]",[8],"[243, 315, 357, 335, 548]","[108, 222, 273, 1, 56]","[26, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 18, 12]",59526.0,807.0,393.0,1.0,Decreasing
204449,Vidua paradisaea,Viduidae,Animalia,Chordata,Vidua,Aves,Vidua,45510215,"[2, 0]",103.0,[],"[205, 163, 500, 573, 355]","[271, 133, 61, 272, 202]","[32, 32, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",10971555.0,134712.0,102338.0,73.0,nan
204473,Calandrella cinerea,Alaudidae,Animalia,Chordata,Calandrella,Aves,Calandrella,795595,"[2, 0, 0]","[3532.0, 36038.76]","[0, 8]","[63, 242, 461, 496, 292]","[106, 200, 6, 251, 225]","[56, 10, 53, 69, 89]","[200.0, 1000.0, 1000.0, 300.0]",60.0,"[2, 0, 3, 15]",4942.0,,,7.0,Decreasing
204497,Cracticus torquatus,Cracticidae,Animalia,Chordata,Cracticus,Aves,Cracticus,355415,"[2, 0]","[1589.0, 110.0, 2110.0, 1589.0]",[8],"[167, 469, 406, 532, 557]","[278, 30, 1, 174, 39]","[44, 17, 63, 97, 17]",,,"[16, 5, 1, 8]",,299.0,202.0,,Unknown
204523,Hypothymis azurea,Monarchidae,Animalia,Chordata,Hypothymis,Aves,Hypothymis,1055641,"[2, 0, 0]",,[8],"[483, 571, 346, 32, 145]","[273, 56, 98, 247, 25]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",1259.0,,,,Stable
204544,Montifringilla nivalis,Passeridae,Animalia,Chordata,Montifringilla,Aves,Montifringilla,1020118,"[1, 2]",,[8],"[364, 150, 67, 104, 548]","[273, 56, 56, 56, 56]","[20, 81, 54, 42, 82]",,,[13],,614.0,470.0,12.0,Stable
225741,Neotamias canipes,Sciuridae,Animalia,Chordata,Tamias,Mammalia,Tamias,60189671,[],,[8],[],[],"[34, 32]",,,[],,289.0,214.0,,Increasing
225751,Neotamias rufus,Sciuridae,Animalia,Chordata,Neotamias,Mammalia,Neotamias,45510888,"[2, 0]","[25.7985, 21.0, 24.1]",[8],"[26, 259, 497, 555, 280]","[241, 63, 57, 82, 169]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",1563363.0,31382.0,,123.0,Increasing
318695,Holcosus septemlineatus,Teiidae,Animalia,Chordata,Holcosus,Squamata,Holcosus,45513287,"[2, 0]",34.0,[8],"[459, 174, 239, 188, 106]","[158, 225, 122, 134, 177]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",,,,8.0,Stable
318747,Plestiodon finitimus,Scincidae,Animalia,Chordata,Plestiodon,Squamata,Plestiodon,331018,"[2, 0]",,[6],"[67, 314, 182, 383, 84]","[273, 56, 98, 247, 25]",[32],,,[13],,,,1.0,Unknown
326305,Arthroleptis stenodactylus,Arthroleptidae,Animalia,Chordata,Arthroleptis,Amphibia,Arthroleptis,45510788,"[2, 0]","[183.0, 260.0, 257.0]","[0, 8]","[186, 217, 435, 543, 539]","[271, 0, 243, 165, 167]","[22, 53, 32, 58, 95]","[5000.0, 1000.0]",20.0,"[11, 4, 11, 12]",,67816.0,56060.0,79.0,Decreasing
339674,Ceratopipra erythrocephala,Pipridae,Animalia,Chordata,Pipra,Aves,Pipra,289379,"[2, 0, 0]",160.97,[8],"[500, 34, 139, 45, 227]","[1, 276, 164, 29, 231]",[32],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 3, 15]",,,,,Decreasing
339693,Aegithalos glaucogularis,Aegithalidae,Animalia,Chordata,Aegithalos,Aves,Aegithalos,45515797,"[2, 0]",12000.0,"[0, 7]","[283, 540, 237, 21, 454]","[110, 185, 33, 92, 264]","[17, 95, 14, 56, 32]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",,1158.0,956.0,,Stable
343021,Anguis fragilis,Anguidae,Animalia,Chordata,Anguis,Squamata,Anguis,45509159,"[2, 0]","[96.0, 109.0, 121.0]",[8],"[126, 352, 276, 385, 345]","[220, 177, 252, 199, 134]","[98, 2, 3, 42, 82]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",8576097.0,91356.0,83849.0,77.0,Decreasing
367535,Psilopogon zeylanicus,Megalaimidae,Animalia,Chordata,Psilopogon,Aves,Psilopogon,45514751,"[2, 0]","[35.9, 44.1]",[8],"[371, 104, 571, 145, 68]","[11, 35, 116, 108, 64]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",81263.0,1248.0,1001.0,,Stable
367550,Micropternus brachyurus,Picidae,Animalia,Chordata,Micropternus,Aves,Micropternus,45511693,"[2, 0]",24.5,[8],"[166, 15, 208, 10, 261]","[252, 122, 134, 143, 177]","[54, 78, 74, 17, 81]","[1000.0, 5000.0]",10.0,"[11, 12]",25885.0,,352.0,6.0,Decreasing
367693,Cassiculus melanicterus,Icteridae,Animalia,Chordata,Cacicus,Aves,Cacicus,327431,"[2, 0]","[9.1, 11.0, 18.0, 6.0, 19.0]",[8],"[117, 453, 1, 90, 302]","[6, 134, 144, 58, 100]","[20, 53, 62, 44, 56]",,,"[11, 11, 8]",,837.0,435.0,,Stable
370402,Stomiopera unicolor,Meliphagidae,Animalia,Chordata,Stomiopera,Aves,Stomiopera,45511216,"[2, 0]","[24.0975, 28.35, 21.5, 26.0, 26.5]",[8],"[133, 388, 50, 175, 497]","[57, 63, 241, 222, 118]","[82, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",828339.0,13041.0,12168.0,167.0,Decreasing
423656,Lycalopex gymnocercus,Canidae,Animalia,Chordata,Lycalopex,Mammalia,Lycalopex,45511378,"[2, 0]",1884.0,[8],"[137, 444, 328, 126, 91]","[143, 225, 57, 122, 277]","[62, 6, 91, 58, 5]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",,79112.0,73158.0,12.0,Increasing
438022,Petroica boodang,Petroicidae,Animalia,Chordata,Petroica,Aves,Petroica,795132,"[2, 0]",7.48,[],"[31, 74, 467]","[47, 50, 88, 256]","[9, 91]","[4000.0, 500.0]",,[16],315.0,,,10.0,nan
472766,Falco tinnunculus,Falconidae,Animalia,Chordata,Falco,Aves,Falco,1048541,"[2, 0]",3120.0,[8],"[129, 268, 297, 293, 391]","[34, 188, 98, 66]","[43, 42, 52, 89, 30]","[5000.0, 1000.0]",20.0,"[7, 11, 11, 18, 12]",104918.0,1350.0,1209.0,5.0,Decreasing
472770,Zosterops virens,Zosteropidae,Animalia,Chordata,Zosterops,Aves,Zosterops,45513675,"[2, 0]","[8.0, 8.7]",[],"[329, 262, 248, 9, 12]","[84, 209, 132, 42, 223]","[20, 5, 54]","[1000.0, 5000.0]",10.0,"[11, 12]",192441.0,,,7.0,nan
472799,Bambusicola sonorivox,Phasianidae,Animalia,Chordata,Bambusicola,Aves,Bambusicola,794628,"[2, 0]",58.52,"[3, 1]","[112, 299, 7, 517, 340]","[222, 222, 279]",[32],"[2000.0, 500.0]",40.0,[16],1149.0,,,4.0,Decreasing
476523,Papurana daemeli,Ranidae,Animalia,Chordata,Papurana,Amphibia,Papurana,328412,"[2, 0]",,[8],"[159, 432, 373]","[1, 47, 110, 110]","[32, 34]",,,[13],,387.0,258.0,,Unknown
508972,Bolemoreus frenatus,Meliphagidae,Animalia,Chordata,Bolemoreus,Aves,Bolemoreus,332929,"[2, 1, 3]",,[8],[],"[215, 222, 125, 44, 222]","[32, 34]","[300.0, 80.0, 30.0, 500.0]",80.0,[8],,772.0,765.0,,Stable
508981,Nesoptilotis leucotis,Meliphagidae,Animalia,Chordata,Nesoptilotis,Aves,Nesoptilotis,328503,"[2, 0]","[1295.0, 1050.0, 1270.0, 259.0, 908.0]",[8],"[531, 457, 422, 510, 509]","[143, 94, 122, 172, 144]","[20, 53, 32, 0, 69]",,,"[19, 8]",,893.0,820.0,15.0,Stable
512092,Sturnia pagodarum,Sturnidae,Animalia,Chordata,Sturnia,Aves,Sturnia,49993742,"[2, 0]",,[8],[],"[108, 273, 22, 98, 247]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,,Stable
512762,Buteo trizonatus,Accipitridae,Animalia,Chordata,Buteo,Aves,Buteo,129546,"[2, 0]","[12.0, 14.0, 3.44, 0.01, 13.84]",[8],"[386, 380, 269, 131, 297]","[189, 203, 74, 66, 80]","[54, 45, 91, 54, 98]",,,[8],5301.0,285.0,241.0,7.0,Stable
517047,Sclerophrys mauritanica,Bufonidae,Animalia,Chordata,Sclerophrys,Amphibia,Sclerophrys,327988,"[2, 0]","[760.0, 751.0, 11.0, 747.09]",[8],"[361, 420, 214, 441, 258]","[199, 39, 130, 166, 222]","[94, 17, 42, 59, 96]",,,"[9, 5, 8]",3047.0,1783.0,1629.0,1282.0,Unknown
517053,Sclerophrys gutturalis,Bufonidae,Animalia,Chordata,Sclerophrys,Amphibia,Sclerophrys,453239,"[2, 0]",485.56,[8],"[161, 511, 393, 65, 290]","[132, 1, 276, 49, 223]","[12, 94, 90, 82, 98]","[2000.0, 500.0]",40.0,[16],178987.0,,21574.0,4.0,Stable
518169,Sittiparus varius,Paridae,Animalia,Chordata,Poecile,Aves,Poecile,10408811,"[2, 0]",,[7],[],"[108, 9, 115, 108, 98]","[63, 17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",10184.0,394.0,352.0,,Stable
528911,Nebulifera robusta,Diplodactylidae,Animalia,Chordata,Nebulifera,Squamata,Nebulifera,1177751,"[2, 0]",111.0,"[5, 7]",[15],"[177, 252, 177, 252, 222]","[54, 43, 17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",26768.0,,,1.0,Decreasing
539892,Liodytes alleni,Colubridae,Animalia,Chordata,Liodytes,Squamata,Liodytes,115784,"[2, 0]","[4.7, 0.28, 3.5, 4.26, 5.2]",[8],"[514, 441, 553, 517, 502]","[142, 218, 268, 265, 32]","[17, 44, 63, 87, 44]",,,"[9, 8]",,1657.0,988.0,12777.0,Stable
550880,Scleroptila afra,Phasianidae,Animalia,Chordata,Scleroptila,Aves,Scleroptila,45518109,"[2, 0]",,[8],"[268, 293, 584, 537, 131]","[34, 188, 98, 66]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",561285.0,6258.0,5960.0,32.0,Decreasing
556645,Pelophylax lessonae,Ranidae,Animalia,Chordata,Pelophylax,Amphibia,Pelophylax,970831,"[2, 0]","[890.0, 34.5, 909.38, 686.9, 34.36]",[8],"[369, 135, 574, 385, 280]","[95, 71, 87, 162, 126]","[44, 42, 63, 17, 98]",,,"[16, 5, 1, 8]",,34871.0,29656.0,2150.0,Decreasing
558436,Spatula smithii,Anatidae,Animalia,Chordata,Spatula,Aves,Spatula,45511464,"[2, 0]",18.3,[],"[564, 172, 218, 316, 277]","[170, 57, 146, 63, 241]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",2862769.0,,,12.0,nan
558437,Spatula rhynchotis,Anatidae,Animalia,Chordata,Spatula,Aves,Spatula,789879,"[2, 0, 0]",,[],[],"[26, 17, 45]",[],"[200.0, 1000.0, 1000.0, 300.0]",60.0,"[0, 15]",,315.0,,,nan
558618,Crithagra sulphurata,Fringillidae,Animalia,Chordata,Crithagra,Aves,Crithagra,45513720,"[2, 0]","[15.0, 17.0]",[8],"[399, 201, 498, 18, 550]","[30, 148, 3, 185, 110]","[53, 82, 17, 78, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",324305.0,3671.0,,6.0,Stable
558619,Crithagra striolata,Fringillidae,Animalia,Chordata,Crithagra,Aves,Crithagra,45511271,"[2, 0]","[3148.0, 3600.0]",[7],"[246, 23, 366, 523, 312]","[257, 223, 124, 108, 27]","[83, 82, 32, 26]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",44521.0,477.0,426.0,11.0,Decreasing
559131,Sanzinia madagascariensis,Boidae,Animalia,Chordata,Sanzinia,Squamata,Sanzinia,45511438,"[2, 0]","[11.340000000000002, 10.3, 12.9]",[8],"[175, 497, 301, 118, 76]","[241, 63, 222, 222, 118]","[11, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",16335273.0,,,187.0,Increasing
560425,Malayemys macrocephala,Geoemydidae,Animalia,Chordata,Malayemys,Testudines,Malayemys,1025184,"[2, 0]",,[8],"[159, 350, 445, 432]","[47, 1, 127, 110, 127]","[34, 32]",,,[13],,1015.0,921.0,,Stable
604225,Pycnonotus plumosus,Pycnonotidae,Animalia,Chordata,Pycnonotus,Aves,Pycnonotus,45513849,"[2, 0]",1900.0,[8],"[27, 426, 32, 150, 215]","[232, 108, 64, 93, 108]","[34, 26, 32, 12, 52]","[5000.0, 1000.0]",20.0,"[11, 12]",111923.0,2727.0,2507.0,,Stable
607212,Dasyprocta variegata,Dasyproctidae,Animalia,Chordata,Dasyprocta,Mammalia,Dasyprocta,42375379,"[2, 0]",16.75,[],"[29, 128, 242, 89]","[58, 252, 252]",[54],"[2000.0, 500.0]",40.0,[16],503.0,,,,nan
717903,Masticophis lateralis,Colubridae,Animalia,Chordata,Masticophis,Squamata,Masticophis,45510169,"[2, 0]",,[8],"[135, 425, 33, 91, 255]","[57, 63, 222, 58, 279]","[82, 54, 53, 20, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",50604.0,,,,Decreasing
827392,Malurus assimilis,Maluridae,Animalia,Chordata,Malurus,Aves,Malurus,45514956,"[2, 0]","[40.0, 50.0]",[8],"[275, 115, 344, 67, 116]","[20, 12, 25, 64, 108]","[34, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",31724.0,581.0,,,Stable
855311,Nyctereutes procyonoides,Canidae,Animalia,Chordata,Nyctereutes,Mammalia,Nyctereutes,45513481,"[2, 0]",,[8],"[286, 414, 392, 440, 39]","[143, 122, 65, 222, 58]","[53, 32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",58733.0,2594.0,2496.0,2.0,Stable
979665,Coracias benghalensis,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias,1047312,"[2, 0]","[275.0, 340.0]","[0, 8]","[314, 155, 364, 275, 181]","[64, 109, 217, 186, 114]","[42, 43, 44, 1, 63]","[5000.0, 1000.0]",20.0,"[11, 12]",39599.0,914.0,812.0,,Stable
979677,Cyornis tickelliae,Muscicapidae,Animalia,Chordata,Cyornis,Aves,Cyornis,45513684,"[2, 0]",,[8],[],"[271, 184, 245, 223, 165]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",682195.0,,,10.0,Stable
979682,Daphoenositta chrysoptera,Neosittidae,Animalia,Chordata,Daphoenositta,Aves,Daphoenositta,45510218,"[2, 0]","[106.0, 128.0]",[8],"[416, 225, 500, 544, 406]","[167, 77, 257, 46, 209]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",,52874.0,49939.0,96.0,Stable
980019,Theristicus branickii,Threskiornithidae,Animalia,Chordata,Theristicus melanopis,Aves,Theristicus,45513422,"[2, 0]",14.4,[8],"[509, 422, 97, 39, 90]","[143, 122, 58, 22, 143]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",36525.0,764.0,735.0,3.0,Decreasing
980037,Yuhina flavicollis,Zosteropidae,Animalia,Chordata,Yuhina,Aves,Yuhina,327830,"[2, 0]","[52350.0, 1734.0, 6250.0, 60000.0, 48000.0]",[8],"[528, 581, 25, 179, 313]","[117, 111, 25, 247, 64]","[9, 91, 82, 5, 69]",,,"[9, 8]",1004.0,815.0,430.0,6.0,Unknown
1067750,Sturnira parvidens,Phyllostomidae,Animalia,Chordata,Sturnira,Mammalia,Sturnira,328523,"[2, 0]","[22333.0, 22333.0, 1491.17, 28500.0, 30600.0]","[0, 10]","[281, 170, 134, 208, 545]","[122, 143, 65, 177, 213]","[40, 78, 53, 21, 53]",,,"[9, 8]",,1511.0,1109.0,18.0,Decreasing
1289422,Argya affinis,Leiothrichidae,Animalia,Chordata,Turdoides,Aves,Turdoides,1052001,"[2, 0]",18.2,[],[],"[41, 86, 110, 222, 5]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",,1816.0,1614.0,,nan
1289423,Argya striata,Leiothrichidae,Animalia,Chordata,Turdoides,Aves,Turdoides,49993780,[],,[],[],[],[],,,[],,,,,nan
1289480,Curruca hortensis,Sylviidae,Animalia,Chordata,Sylvia,Aves,Sylvia,45515319,"[2, 0]",,[8],[],"[108, 117, 108, 98, 22]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",8331.0,,,3.0,Decreasing
1289491,Neophedina cincta,Hirundinidae,Animalia,Chordata,Riparia,Aves,Riparia,331264,[],,[],[],[],[],,,[],,,,,nan
1289509,Lanius corvinus,Laniidae,Animalia,Chordata,Corvinella,Aves,Corvinella,45517286,"[2, 0]",22.0,[8],"[70, 86, 201, 579, 262]","[110, 185, 264, 234, 173]","[53, 17, 20, 54, 43]","[1000.0, 5000.0]",10.0,"[11, 12]",30680.0,244.0,220.0,1.0,Unknown
1289606,Urile urile,Phalacrocoracidae,Animalia,Chordata,Phalacrocorax,Aves,Phalacrocorax,327294,"[2, 0]","[443.0, 443.0, 362.0, 380.35]","[0, 8]","[386, 66, 60, 458, 324]","[203, 74, 266, 72, 66]","[91, 9, 53, 5, 56]",,,"[11, 11, 11, 8]",4970.0,528.0,485.0,7.0,Unknown
1289647,Chrysuronia versicolor,Trochilidae,Animalia,Chordata,Chrysuronia,Aves,Chrysuronia,45513773,"[2, 0]",,[8],[],"[108, 108]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",3413.0,287.0,276.0,1.0,Stable
1289681,Riccordia ricordii,Trochilidae,Animalia,Chordata,Riccordia,Aves,Riccordia,52571190,"[2, 0]",,[],[],"[204, 33]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",,,,,nan
1289689,Campocolinus coqui,Phasianidae,Animalia,Chordata,Campocolinus,Aves,Campocolinus,45510632,"[2, 0]","[762.0, 730.0]",[10],[449],"[63, 166, 222, 222, 279]","[69, 58, 5, 32, 32]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",1065.0,171.0,159.0,78.0,Decreasing
1368519,Saimiri cassiquiarensis,Cebidae,Animalia,Chordata,Saimiri,Mammalia,Saimiri,45514760,"[2, 0]",26.3,[8],"[35, 145, 25, 2, 344]","[64, 108, 12, 114, 273]","[40, 74, 17, 54, 81]","[1000.0, 5000.0]",10.0,"[11, 12]",19352.0,281.0,180.0,1.0,Decreasing
