id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
12716,Turdus merula,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,45515463,"[2, 0]","[24.8, 18.0, 24.7]",[8],"[446, 35, 229, 232, 167]","[155, 103, 259, 46, 132]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",1420052.0,,,36.0,Decreasing
12735,Turdus viscivorus,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,45515054,"[2, 0]","[21.8, 19.0]",[8],"[562, 181, 371, 104, 105]","[235, 222, 273, 56, 22]","[32, 32, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",36009.0,649.0,612.0,3.0,Stable
12746,Turdus albicollis,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,45515181,"[2, 0]",,[8],[],"[263, 217, 109, 12, 11]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",111663.0,708.0,538.0,3.0,Stable
12764,Turdus rufitorques,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,45515856,"[2, 0]","[166.0, 176.0]",[8],"[399, 100, 284, 403, 11]","[210, 0, 159, 33, 222]","[43, 17, 32]","[5000.0, 1000.0]",20.0,"[11, 12]",,2929.0,2613.0,9.0,Increasing
12781,Turdus fuscater,Turdidae,Animalia,Chordata,Turdus,Aves,Turdus,310662,"[2, 0]","[4600.0, 4600.0, 4511.47]",[8],"[537, 379, 324, 499, 501]","[74, 214, 172, 66, 188]","[82, 53, 20, 84, 95]",,,"[13, 13, 13, 8]",,1137.0,1017.0,,Decreasing
12792,Cossypha heuglini,Muscicapidae,Animalia,Chordata,Cossypha,Aves,Cossypha,45511364,"[2, 0]","[1274.0, 1662.0, 1350.0]",[8],"[480, 521, 138, 337, 221]","[252, 257, 63, 108, 48]","[29, 53, 61, 53, 25]","[5000.0, 1000.0]",20.0,"[11, 11, 12]",,2400.0,2036.0,,Decreasing
12821,Oenanthe lugens,Muscicapidae,Animalia,Chordata,Oenanthe,Aves,Oenanthe,326378,"[2, 0]","[224.0, 200.0, 224.0]",[8],"[357, 233, 548, 426, 115]","[11, 124, 108, 56, 22]","[69, 5, 17, 32, 93]",,,"[5, 8]",,186.0,174.0,6.0,Stable
12832,Oenanthe leucopyga,Muscicapidae,Animalia,Chordata,Oenanthe,Aves,Oenanthe,323858,"[2, 0]","[1484.0, 1030.3, 1484.25]",[7],"[268, 231, 54, 391, 486]","[203, 236, 189, 66, 81]","[78, 23, 17, 51, 42]",,,"[7, 18, 8, 8]",,2143.0,1804.0,30.0,Decreasing
12839,Oenanthe pileata,Muscicapidae,Animalia,Chordata,Oenanthe,Aves,Oenanthe,45518782,"[2, 0]","[31.0, 38.0]",[8],"[181, 571, 315, 81, 313]","[64, 48, 117, 114, 226]","[32, 34, 26]","[5000.0, 1000.0]",20.0,"[11, 12]",185306.0,2760.0,1238.0,12.0,Unknown
12910,Saxicola caprata,Muscicapidae,Animalia,Chordata,Saxicola,Aves,Saxicola,1049416,"[2, 0]","[1945.0, 2425.0, 2150.0]",[3],"[376, 357, 27, 452]","[124, 108, 56, 22, 98]","[32, 26]","[5000.0, 1000.0]",20.0,"[11, 12]",8409.0,228.0,204.0,,Decreasing
12953,Myadestes melanops,Turdidae,Animalia,Chordata,Myadestes,Aves,Myadestes,45515921,"[2, 0]","[670.0, 602.0]",[8],"[189, 431, 507, 386, 24]","[266, 34, 136, 145, 188]","[34, 32, 26, 62]","[5000.0, 1000.0]",20.0,"[11, 18, 12]",587788.0,5689.0,5482.0,,Decreasing
13075,Luscinia luscinia,Muscicapidae,Animalia,Chordata,Luscinia,Aves,Luscinia,327367,"[2, 0]","[73.0, 87.0, 101.0, 78.0, 75.0]",[8],"[97, 132, 90, 125, 151]","[122, 97, 144, 126, 6]","[20, 91, 53, 9, 53]",,,"[11, 11, 11, 8]",916.0,183.0,178.0,7.0,Stable
